Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance	Lens Focal Length
       0	00:34:59:19	A001C025_211130_ROI7	00:34:59:19	1.852	16.023
       1	00:34:59:20	A001C025_211130_ROI7	00:34:59:20	1.852	16.023
       2	00:34:59:21	A001C025_211130_ROI7	00:34:59:21	1.852	16.023
       3	00:34:59:22	A001C025_211130_ROI7	00:34:59:22	1.852	16.023
       4	00:34:59:23	A001C025_211130_ROI7	00:34:59:23	1.852	16.023
       5	00:34:59:24	A001C025_211130_ROI7	00:34:59:24	1.852	16.023
       6	00:35:00:00	A001C025_211130_ROI7	00:35:00:00	1.852	16.023
       7	00:35:00:01	A001C025_211130_ROI7	00:35:00:01	1.852	16.023
       8	00:35:00:02	A001C025_211130_ROI7	00:35:00:02	1.852	16.023
       9	00:35:00:03	A001C025_211130_ROI7	00:35:00:03	1.852	16.023
      10	00:35:00:04	A001C025_211130_ROI7	00:35:00:04	1.852	16.023
      11	00:35:00:05	A001C025_211130_ROI7	00:35:00:05	1.852	16.023
      12	00:35:00:06	A001C025_211130_ROI7	00:35:00:06	1.852	16.023
      13	00:35:00:07	A001C025_211130_ROI7	00:35:00:07	1.852	16.023
      14	00:35:00:08	A001C025_211130_ROI7	00:35:00:08	1.852	16.023
      15	00:35:00:09	A001C025_211130_ROI7	00:35:00:09	1.852	16.023
      16	00:35:00:10	A001C025_211130_ROI7	00:35:00:10	1.852	16.023
      17	00:35:00:11	A001C025_211130_ROI7	00:35:00:11	1.852	16.023
      18	00:35:00:12	A001C025_211130_ROI7	00:35:00:12	1.852	16.023
      19	00:35:00:13	A001C025_211130_ROI7	00:35:00:13	1.852	16.023
      20	00:35:00:14	A001C025_211130_ROI7	00:35:00:14	1.852	16.023
      21	00:35:00:15	A001C025_211130_ROI7	00:35:00:15	1.852	16.023
      22	00:35:00:16	A001C025_211130_ROI7	00:35:00:16	1.852	16.023
      23	00:35:00:17	A001C025_211130_ROI7	00:35:00:17	1.852	16.023
      24	00:35:00:18	A001C025_211130_ROI7	00:35:00:18	1.852	16.023
      25	00:35:00:19	A001C025_211130_ROI7	00:35:00:19	1.852	16.023
      26	00:35:00:20	A001C025_211130_ROI7	00:35:00:20	1.852	16.023
      27	00:35:00:21	A001C025_211130_ROI7	00:35:00:21	1.852	16.023
      28	00:35:00:22	A001C025_211130_ROI7	00:35:00:22	1.852	16.023
      29	00:35:00:23	A001C025_211130_ROI7	00:35:00:23	1.852	16.023
      30	00:35:00:24	A001C025_211130_ROI7	00:35:00:24	1.852	16.023
      31	00:35:01:00	A001C025_211130_ROI7	00:35:01:00	1.852	16.023
      32	00:35:01:01	A001C025_211130_ROI7	00:35:01:01	1.852	16.023
      33	00:35:01:02	A001C025_211130_ROI7	00:35:01:02	1.852	16.023
      34	00:35:01:03	A001C025_211130_ROI7	00:35:01:03	1.852	16.023
      35	00:35:01:04	A001C025_211130_ROI7	00:35:01:04	1.852	16.023
      36	00:35:01:05	A001C025_211130_ROI7	00:35:01:05	1.852	16.023
      37	00:35:01:06	A001C025_211130_ROI7	00:35:01:06	1.852	16.023
      38	00:35:01:07	A001C025_211130_ROI7	00:35:01:07	1.852	16.023
      39	00:35:01:08	A001C025_211130_ROI7	00:35:01:08	1.852	16.023
      40	00:35:01:09	A001C025_211130_ROI7	00:35:01:09	1.852	16.023
      41	00:35:01:10	A001C025_211130_ROI7	00:35:01:10	1.852	16.023
      42	00:35:01:11	A001C025_211130_ROI7	00:35:01:11	1.852	16.023
      43	00:35:01:12	A001C025_211130_ROI7	00:35:01:12	1.852	16.023
      44	00:35:01:13	A001C025_211130_ROI7	00:35:01:13	1.852	16.023
      45	00:35:01:14	A001C025_211130_ROI7	00:35:01:14	1.852	16.023
      46	00:35:01:15	A001C025_211130_ROI7	00:35:01:15	1.852	16.023
      47	00:35:01:16	A001C025_211130_ROI7	00:35:01:16	1.852	16.023
      48	00:35:01:17	A001C025_211130_ROI7	00:35:01:17	1.852	16.023
      49	00:35:01:18	A001C025_211130_ROI7	00:35:01:18	1.852	16.023
      50	00:35:01:19	A001C025_211130_ROI7	00:35:01:19	1.852	16.023
      51	00:35:01:20	A001C025_211130_ROI7	00:35:01:20	1.852	16.023
      52	00:35:01:21	A001C025_211130_ROI7	00:35:01:21	1.852	16.023
      53	00:35:01:22	A001C025_211130_ROI7	00:35:01:22	1.852	16.023
      54	00:35:01:23	A001C025_211130_ROI7	00:35:01:23	1.852	16.023
      55	00:35:01:24	A001C025_211130_ROI7	00:35:01:24	1.852	16.023
      56	00:35:02:00	A001C025_211130_ROI7	00:35:02:00	1.852	16.023
      57	00:35:02:01	A001C025_211130_ROI7	00:35:02:01	1.852	16.023
      58	00:35:02:02	A001C025_211130_ROI7	00:35:02:02	1.852	16.023
      59	00:35:02:03	A001C025_211130_ROI7	00:35:02:03	1.852	16.023
      60	00:35:02:04	A001C025_211130_ROI7	00:35:02:04	1.852	16.023
      61	00:35:02:05	A001C025_211130_ROI7	00:35:02:05	1.852	16.023
      62	00:35:02:06	A001C025_211130_ROI7	00:35:02:06	1.852	16.023
      63	00:35:02:07	A001C025_211130_ROI7	00:35:02:07	1.852	16.023
      64	00:35:02:08	A001C025_211130_ROI7	00:35:02:08	1.852	16.023
      65	00:35:02:09	A001C025_211130_ROI7	00:35:02:09	1.852	16.023
      66	00:35:02:10	A001C025_211130_ROI7	00:35:02:10	1.852	16.023
      67	00:35:02:11	A001C025_211130_ROI7	00:35:02:11	1.852	16.023
      68	00:35:02:12	A001C025_211130_ROI7	00:35:02:12	1.852	16.023
      69	00:35:02:13	A001C025_211130_ROI7	00:35:02:13	1.852	16.023
      70	00:35:02:14	A001C025_211130_ROI7	00:35:02:14	1.852	16.023
      71	00:35:02:15	A001C025_211130_ROI7	00:35:02:15	1.852	16.023
      72	00:35:02:16	A001C025_211130_ROI7	00:35:02:16	1.852	16.023
      73	00:35:02:17	A001C025_211130_ROI7	00:35:02:17	1.852	16.023
      74	00:35:02:18	A001C025_211130_ROI7	00:35:02:18	1.852	16.023
      75	00:35:02:19	A001C025_211130_ROI7	00:35:02:19	1.852	16.023
      76	00:35:02:20	A001C025_211130_ROI7	00:35:02:20	1.852	16.023
      77	00:35:02:21	A001C025_211130_ROI7	00:35:02:21	1.852	16.023
      78	00:35:02:22	A001C025_211130_ROI7	00:35:02:22	1.852	16.023
      79	00:35:02:23	A001C025_211130_ROI7	00:35:02:23	1.852	16.023
      80	00:35:02:24	A001C025_211130_ROI7	00:35:02:24	1.852	16.023
      81	00:35:03:00	A001C025_211130_ROI7	00:35:03:00	1.852	16.023
      82	00:35:03:01	A001C025_211130_ROI7	00:35:03:01	1.852	16.023
      83	00:35:03:02	A001C025_211130_ROI7	00:35:03:02	1.852	16.023
      84	00:35:03:03	A001C025_211130_ROI7	00:35:03:03	1.852	16.023
      85	00:35:03:04	A001C025_211130_ROI7	00:35:03:04	1.852	16.023
      86	00:35:03:05	A001C025_211130_ROI7	00:35:03:05	1.852	16.023
      87	00:35:03:06	A001C025_211130_ROI7	00:35:03:06	1.852	16.023
      88	00:35:03:07	A001C025_211130_ROI7	00:35:03:07	1.852	16.023
      89	00:35:03:08	A001C025_211130_ROI7	00:35:03:08	1.852	16.023
