Index	Master TC	Camera Clip Name	Master TC	Lens Focus Distance
       0	01:00:32:18	F003C005_190925_MN99	01:00:32:18	0.561
       1	01:00:32:19	F003C005_190925_MN99	01:00:32:19	0.561
       2	01:00:32:20	F003C005_190925_MN99	01:00:32:20	0.561
       3	01:00:32:21	F003C005_190925_MN99	01:00:32:21	0.561
       4	01:00:32:22	F003C005_190925_MN99	01:00:32:22	0.561
       5	01:00:32:23	F003C005_190925_MN99	01:00:32:23	0.561
       6	01:00:33:00	F003C005_190925_MN99	01:00:33:00	0.561
       7	01:00:33:01	F003C005_190925_MN99	01:00:33:01	0.561
       8	01:00:33:02	F003C005_190925_MN99	01:00:33:02	0.561
       9	01:00:33:03	F003C005_190925_MN99	01:00:33:03	0.561
      10	01:00:33:04	F003C005_190925_MN99	01:00:33:04	0.561
      11	01:00:33:05	F003C005_190925_MN99	01:00:33:05	0.561
      12	01:00:33:06	F003C005_190925_MN99	01:00:33:06	0.561
      13	01:00:33:07	F003C005_190925_MN99	01:00:33:07	0.561
      14	01:00:33:08	F003C005_190925_MN99	01:00:33:08	0.561
      15	01:00:33:09	F003C005_190925_MN99	01:00:33:09	0.561
      16	01:00:33:10	F003C005_190925_MN99	01:00:33:10	0.561
      17	01:00:33:11	F003C005_190925_MN99	01:00:33:11	0.561
      18	01:00:33:12	F003C005_190925_MN99	01:00:33:12	0.561
      19	01:00:33:13	F003C005_190925_MN99	01:00:33:13	0.561
      20	01:00:33:14	F003C005_190925_MN99	01:00:33:14	0.561
      21	01:00:33:15	F003C005_190925_MN99	01:00:33:15	0.561
      22	01:00:33:16	F003C005_190925_MN99	01:00:33:16	0.561
      23	01:00:33:17	F003C005_190925_MN99	01:00:33:17	0.561
      24	01:00:33:18	F003C005_190925_MN99	01:00:33:18	0.561
      25	01:00:33:19	F003C005_190925_MN99	01:00:33:19	0.561
      26	01:00:33:20	F003C005_190925_MN99	01:00:33:20	0.561
      27	01:00:33:21	F003C005_190925_MN99	01:00:33:21	0.561
      28	01:00:33:22	F003C005_190925_MN99	01:00:33:22	0.561
      29	01:00:33:23	F003C005_190925_MN99	01:00:33:23	0.561
      30	01:00:34:00	F003C005_190925_MN99	01:00:34:00	0.561
      31	01:00:34:01	F003C005_190925_MN99	01:00:34:01	0.561
      32	01:00:34:02	F003C005_190925_MN99	01:00:34:02	0.561
      33	01:00:34:03	F003C005_190925_MN99	01:00:34:03	0.561
      34	01:00:34:04	F003C005_190925_MN99	01:00:34:04	0.561
      35	01:00:34:05	F003C005_190925_MN99	01:00:34:05	0.561
      36	01:00:34:06	F003C005_190925_MN99	01:00:34:06	0.561
      37	01:00:34:07	F003C005_190925_MN99	01:00:34:07	0.561
      38	01:00:34:08	F003C005_190925_MN99	01:00:34:08	0.561
      39	01:00:34:09	F003C005_190925_MN99	01:00:34:09	0.561
      40	01:00:34:10	F003C005_190925_MN99	01:00:34:10	0.561
      41	01:00:34:11	F003C005_190925_MN99	01:00:34:11	0.561
      42	01:00:34:12	F003C005_190925_MN99	01:00:34:12	0.561
      43	01:00:34:13	F003C005_190925_MN99	01:00:34:13	0.561
      44	01:00:34:14	F003C005_190925_MN99	01:00:34:14	0.561
      45	01:00:34:15	F003C005_190925_MN99	01:00:34:15	0.561
      46	01:00:34:16	F003C005_190925_MN99	01:00:34:16	0.561
      47	01:00:34:17	F003C005_190925_MN99	01:00:34:17	0.561
      48	01:00:34:18	F003C005_190925_MN99	01:00:34:18	0.561
      49	01:00:34:19	F003C005_190925_MN99	01:00:34:19	0.561
      50	01:00:34:20	F003C005_190925_MN99	01:00:34:20	0.561
      51	01:00:34:21	F003C005_190925_MN99	01:00:34:21	0.561
      52	01:00:34:22	F003C005_190925_MN99	01:00:34:22	0.561
      53	01:00:34:23	F003C005_190925_MN99	01:00:34:23	0.561
      54	01:00:35:00	F003C005_190925_MN99	01:00:35:00	0.561
      55	01:00:35:01	F003C005_190925_MN99	01:00:35:01	0.561
      56	01:00:35:02	F003C005_190925_MN99	01:00:35:02	0.561
